Content Title,Github Repo,s3 link/drive Link,Youtube Link,Blog created on docs,README updated
Multi-Model Invoice OCR Pipeline:,https://github.com/dakshjain-1616/Multi-Model-Invoice-OCR-Pipeline,https://drive.google.com/file/d/1uKz_Dj33oN1Dsl393hJVz1RMy22G_3-z/view?usp=drive_link,,TRUE,TRUE

Table Extraction from Financial Documents,https://github.com/dakshjain-1616/Table-Extraction-from-Financial-Documents,https://drive.google.com/file/d/1NlvqdpsKvsoFt30EHgQiaLSkf_AHMdn1/view?usp=sharing,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/tableExtraction.mp4,TRUE,TRUE

Real-time Voice Translation Pipeline,https://github.com/dakshjain-1616/Real-time-Voice-Translation-Pipeline,https://drive.google.com/file/d/1XLZGDvvVcuURXVb0hF_rczBEpG7SI3qc/view?usp=sharing,,TRUE,TRUE

Medical Report Analysis Pipeline,https://github.com/dakshjain-1616/Medical-Report-Analysis-Pipeline,https://drive.google.com/drive/folders/1_BQIcMEdmmzeXWWtC0t5IIt-68RqjeTd,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/medical-vision-model-pipeline.mp4,TRUE,TRUE

Quantization-Aware Training,https://github.com/dakshjain-1616/Quantisation-Awareness-training,https://drive.google.com/file/d/1H6HRSf0EVf3JUSVTVgjQlHdwnyrqV0G9/view?usp=sharing,https://youtu.be/Z9W2gTu-Ekc,TRUE,TRUE

Multi-Query Batch Inference Optimization,https://github.com/dakshjain-1616/Multi-Query-Batch-Inference-Optimization,https://drive.google.com/file/d/1Ztz_dVJaa9LS0m9KvZssDGGZdqOT-7gc/view?usp=sharing,,TRUE,TRUE

Code Analysis & Refactoring Agent:,https://github.com/dakshjain-1616/Code-Agent-Analysis-and-Refactoring-tool,https://drive.google.com/file/d/1bRxrY1p10MTUBiqaH3IHKkHMFuGs3QWH/view?usp=drive_link,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/code-refactor-agent-made-with-neo.mp4,TRUE,TRUE

